month,order_id,customer_id
2019-03,BA983A54996A6,A45A980554CC6
2019-03,BA8A909B8B9AB,A4098CABC9776
2019-03,BA753443AB4A6,C0C6998A40000
2019-03,BBAA59905699B,C05597A5CB896
2019-03,BA7B78A0356A6,C0C49705BA696
2019-03,BBB3806906464,C0880CB46499B
2019-03,BBAB08B483B96,AA65B5BB640CB
2019-03,BBA979B4660A6,C08C98804A8B4
2019-03,BA53549365344,C0A7664C64640
2019-03,BA657787A06B4,C0B8C8978979B
2019-03,BA76774504544,AA65A40A9747B
2019-03,BA56846809A84,AC0C079845984
2019-03,BA9839306A47B,C0605CA7B4C84
2019-03,BA7B00BB0579B,AA65A878749AB
2019-03,BA5B06A468768,C0A60A7805408
2019-03,BB0B376A4B944,C065B077A7984
2019-03,BA5B703098976,AA65A4A80CA04
2019-03,BA8688674BAAB,B878596B5A744
2019-03,BA69B06A77888,C0C0BBB66787B
2019-03,BA87466A78656,AA65B0540579B
2019-03,BA5B745500768,C0A6769568864
2019-03,BA58080950368,C0BA574996064
2019-03,BA5669B406368,C0AB85CB68576
2019-03,BA6307B598AAB,C0B589C4B5B48
2019-03,BBB6435850336,B9B9A8C785056
2019-03,BA876A9500AB8,AA945504B7744
2019-03,BA5B379A545B8,C0A6C767ACCAB
2019-03,BBA6A63934304,AC5B80B8B8C84
2019-03,BBB7577B90848,C085C05C48A9B
2019-03,BB0A4A9B84576,C064A776BCAC6
2019-03,BA650484A0B08,ABB0C95958C68
2019-03,BBB79B079779B,C09B6897A5B96
2019-03,BA97434564704,AA65BC6568A60
2019-03,BA579A70AB064,AA65B8A8B0768
2019-03,BB0668805AB96,AA65C0B497C76
2019-03,BA5BA378A8B08,AA65B8A788000
2019-03,BA5BA487B995B,C0A6AB94ACBA6
2019-03,BA983B546A088,A56995CC8B496
2019-03,BA766A8A35648,AA65B65CC8464
2019-03,BA58A30004064,B4C8C8776AB48
2019-03,BA676695BB5B8,BCA4405A8C584
2019-03,BA7B59ABA059B,C0C47675BC9C6
2019-03,BA505983AB03B,C0A50BAA99456
2019-03,BBA87BB459744,C08B9584C8496
2019-03,BA94AA56578B4,C056C6B4BBC68
2019-03,BA5339096483B,C0A749056CA68
2019-03,BA534B99B5984,C0A75C8A4BC04
2019-03,BBBBA93999968,C0AB8B7545696
2019-03,BA79406430304,AC5C508AB68A6
2019-03,BBAA4980660A6,C075574988896
2019-03,BA66333A45A84,A569B7089059B
2019-03,BA6940593A6A6,AA65AC70A8976
2019-03,BA748047545B8,C0C65B0A8595B
2019-03,BA63B89A9459B,AA65A44457CAB
2019-03,BB086B4640096,AA65BB4AA6CB0
2019-03,BBB604355A840,C09074C00AA84
2019-03,BA53B6A3346B4,C0A7C4B7AC95B
2019-03,BBB8066058336,C09B9055B5C44
2019-03,BA7B35B397408,B986C770A9488
2019-03,BA747660555B0,AC5B80B8B8C84
2019-03,BB06370857056,AA999CA6BA47B
2019-03,BBAA867B6307B,C0759A69BB976
2019-03,BB03A75BB339B,C066A40B6B496
2019-03,BA5734A900896,AA65B4846B944
